year,quarter,end_price,start_price,trading_days,quarterly_return_pct,company
2018,4,2767.270263671875,2595.281982421875,61,6.9941,Britannia
2019,1,2750.52685546875,2756.30078125,60,-0.6051,Britannia
2019,2,2437.10595703125,2709.045654296875,60,-11.3949,Britannia
2019,3,2630.302734375,2431.6435546875,62,7.9273,Britannia
2019,4,2705.035400390625,2608.325439453125,61,2.8412,Britannia
2020,1,2402.306884765625,2715.622314453125,63,-11.1913,Britannia
2020,2,3255.305908203125,2291.43603515625,59,35.5075,Britannia
2020,3,3505.527099609375,3203.05029296875,66,7.6866,Britannia
2020,4,3300.8154296875,3515.171875,63,-5.8397,Britannia
2021,1,3345.763671875,3292.924072265625,61,1.3617,Britannia
2021,2,3436.925048828125,3339.718017578125,61,2.7247,Britannia
2021,3,3718.77978515625,3386.2138671875,63,8.2008,Britannia
2021,4,3395.819091796875,3692.55322265625,63,-8.6846,Britannia
2022,1,3019.51025390625,3406.6962890625,61,-11.0815,Britannia
2022,2,3320.662109375,3042.346923828125,62,9.9735,Britannia
2022,3,3681.476806640625,3433.6533203125,63,10.8657,Britannia
2022,4,4126.3515625,3610.491943359375,62,12.0841,Britannia
2023,1,4140.43359375,4111.69482421875,62,0.3413,Britannia
2023,2,4895.830078125,4142.25390625,60,18.2444,Britannia
2023,3,4420.916015625,4879.99609375,63,-9.7004,Britannia
2023,4,5201.68896484375,4380.28515625,60,17.6609,Britannia
2024,1,4785.4326171875,5183.51611328125,60,-8.0023,Britannia
2024,2,5335.2763671875,4769.7939453125,60,11.4899,Britannia
2024,3,6256.16259765625,5336.2021484375,64,17.2603,Britannia
2024,4,4737.36669921875,6362.6669921875,61,-24.2768,Britannia
2017,3,278.89874267578125,268.8416442871094,63,,Dabur
2017,4,320.94464111328125,284.6596374511719,62,15.0757,Dabur
2018,1,301.3960876464844,320.3021545410156,60,-6.0909,Dabur
2018,2,359.26153564453125,308.279296875,64,19.1991,Dabur
2018,3,398.26611328125,352.1487731933594,61,10.8569,Dabur
2018,4,403.1290588378906,409.7877502441406,61,1.221,Dabur
2019,1,384.6880187988281,394.8914489746094,60,-4.5745,Dabur
2019,2,374.9058227539063,375.3270263671875,60,-2.5429,Dabur
